timestamp,last_price,bid_price,ask_price,bid_volume,ask_volume,volume_24h,high_24h,low_24h,change_24h,price_change_24h,bid_ask_spread,change_24h_normalized,spread_percentage,trend
2025-05-14 20:40:15,104271.29,104271.29,104271.3,4.43222,0.27508,2020023815.8247635,104976.25,102811.32,0.581,602.08,-0.010000000009313226,0.005809999999999999,-9.590367597171979e-06,bullish
2025-05-14 20:40:17,104277.14,104277.14,104277.15,4.41066,0.23256,2019959252.427979,104976.25,102811.32,0.547,567.29,-0.00999999999476131,0.00547,-9.589829558771281e-06,bullish
2025-05-14 20:40:19,104277.14,104274.23,104274.24,1.07637,2.18797,2019942072.4366076,104976.25,102811.32,0.549,569.3,-0.010000000009313226,0.00549,-9.589829572726318e-06,bullish
2025-05-14 20:40:21,104274.23,104244.03,104244.04,1.40535,3.91278,2019950061.5902853,104976.25,102811.32,0.557,577.84,-0.00999999999476131,0.00557,-9.590097183897988e-06,bullish
2025-05-14 20:40:23,104245.47,104245.47,104245.48,4.8524,0.80794,2020037967.9778945,104976.25,102811.32,0.537,557.05,-0.00999999999476131,0.005370000000000001,-9.592742969801288e-06,bullish
2025-05-14 20:40:25,104249.88,104249.88,104249.89,6.30032,1.1075,2020039026.8500552,104976.25,102811.32,0.547,567.48,-0.00999999999476131,0.00547,-9.592337175602802e-06,bullish
2025-05-14 20:40:27,104249.88,104246.49,104246.5,0.86798,3.30021,2019757723.4031622,104976.25,102811.32,0.563,583.21,-0.00999999999476131,0.00563,-9.592337175602802e-06,bullish
2025-05-14 20:40:29,104241.7,104253.89,104253.9,5.19597,0.00799,2019760806.7028234,104976.25,102811.32,0.558,577.93,-0.00999999999476131,0.005580000000000001,-9.593089900453765e-06,bullish
2025-05-14 20:40:31,104254.82,104254.82,104254.83,2.03691,2.36108,2019836138.869822,104976.25,102811.32,0.572,593.21,-0.00999999999476131,0.005719999999999999,-9.591882653254123e-06,bullish
2025-05-14 20:40:33,104250.15,104241.46,104241.47,1.25731,2.83267,2019848881.3068576,104976.25,102811.32,0.556,576.81,-0.00999999999476131,0.005560000000000001,-9.59231233217536e-06,bullish
2025-05-14 20:40:35,104241.46,104214.81,104214.82,2.78398,1.82792,2019865830.0581093,104976.25,102811.32,0.548,568.13,-0.010000000009313226,0.0054800000000000005,-9.59311200103416e-06,bullish
2025-05-14 20:40:37,104214.81,104206.2,104206.21,1.16896,2.36858,2019914631.6739507,104976.25,102811.32,0.532,551.06,-0.010000000009313226,0.00532,-9.595565169013144e-06,bullish
2025-05-14 20:40:39,104206.2,104206.2,104206.21,4.08729,0.69435,2019915151.2194693,104976.25,102811.32,0.536,555.4,-0.010000000009313226,0.00536,-9.596357999152859e-06,bullish
2025-05-14 20:40:41,104206.2,104206.2,104206.21,4.06339,0.69326,2019919074.086382,104976.25,102811.32,0.536,555.41,-0.010000000009313226,0.00536,-9.596357999152859e-06,bullish
2025-05-14 20:40:43,104206.21,104206.2,104206.21,2.85011,1.35924,2019894613.1178186,104976.25,102811.32,0.532,551.13,-0.010000000009313226,0.00532,-9.59635707825208e-06,bullish
2025-05-14 20:40:45,104190.47,104190.47,104190.48,3.33526,1.00515,2019909034.9868162,104976.25,102811.32,0.508,526.53,-0.00999999999476131,0.00508,-9.59780678094773e-06,bullish
2025-05-14 20:40:47,104180.05,104171.26,104171.27,3.04694,0.74329,2019939776.242281,104976.25,102811.32,0.459,476.5,-0.010000000009313226,0.00459,-9.59876675938745e-06,bullish
2025-05-14 20:40:49,104177.74,104168.16,104168.17,1.45529,2.74805,2019967913.6968617,104976.25,102811.32,0.458,475.16,-0.00999999999476131,0.00458,-9.598979585045048e-06,bullish
2025-05-14 20:40:51,104160.03,104158.73,104158.74,1.92151,2.8551,2020055791.808868,104976.25,102811.32,0.441,457.46,-0.010000000009313226,0.00441,-9.60061168311225e-06,bullish
2025-05-14 20:40:53,104142.85,104146.26,104146.27,6.71517,0.61255,2020109330.1882217,104976.25,102811.32,0.425,440.28,-0.010000000009313226,0.00425,-9.602195454909508e-06,bullish
2025-05-14 20:40:55,104142.85,104142.85,104142.86,0.04717,7.10403,2020012103.0652206,104976.25,102811.32,0.378,391.85,-0.00999999999476131,0.00378,-9.602195440936473e-06,bullish
2025-05-14 20:40:57,104135.09,104132.98,104132.99,0.00658,5.35377,2019999272.87423,104976.25,102811.32,0.366,380.26,-0.010000000009313226,0.00366,-9.602910996968673e-06,bullish
2025-05-14 20:40:59,104132.98,104132.98,104132.99,4.00805,1.03551,2019995813.832928,104976.25,102811.32,0.364,378.14,-0.010000000009313226,0.00364,-9.603105576459279e-06,bullish
2025-05-14 20:41:01,104132.98,104126.98,104126.99,2.50187,4.31921,2019595171.500868,104976.25,102811.32,0.325,337.7,-0.010000000009313226,0.0032500000000000003,-9.603105576459279e-06,bullish
2025-05-14 20:41:03,104126.98,104126.98,104126.99,0.21372,5.44351,2019583284.2836401,104976.25,102811.32,0.341,354.05,-0.010000000009313226,0.0034100000000000003,-9.603658926162294e-06,bullish
2025-05-14 20:41:05,104123.83,104095.22,104095.23,0.01068,4.85416,2019592216.514592,104976.25,102811.32,0.338,350.89,-0.00999999999476131,0.00338,-9.603949446309563e-06,bullish
2025-05-14 20:41:07,104084.81,104084.81,104084.82,1.94753,3.56739,2019610917.483516,104976.25,102811.32,0.296,306.68,-0.010000000009313226,0.00296,-9.607549852195748e-06,bullish
2025-05-14 20:41:09,104084.81,104084.81,104084.82,0.89938,3.13044,2019607133.7980738,104976.25,102811.32,0.293,304.11,-0.010000000009313226,0.00293,-9.607549852195748e-06,bullish
2025-05-14 20:41:11,104094.78,104094.0,104094.01,3.20962,5.85679,2019684516.1752868,104976.25,102811.32,0.303,314.08,-0.00999999999476131,0.0030299999999999997,-9.606629645368683e-06,bullish
